drugA,drugB,cell_line,synergy
5-FU,ABT-888,A2058,7.6935301658
5-FU,ABT-888,A2780,7.7780530601
5-FU,ABT-888,A375,-1.1985054379
5-FU,ABT-888,CAOV3,-5.1399712212
5-FU,ABT-888,ES2,1.4986504517
5-FU,ABT-888,HCT116,9.4632808694
5-FU,ABT-888,HT144,-3.7013547459
5-FU,ABT-888,HT29,10.1734339084
5-FU,ABT-888,KPL1,2.1570044282
5-FU,ABT-888,LNCAP,1.6326315853
5-FU,ABT-888,LOVO,-8.9792139458
5-FU,ABT-888,MDAMB436,6.8992599953
5-FU,ABT-888,NCIH1650,-5.9963702965
5-FU,ABT-888,NCIH2122,7.8902568144
5-FU,ABT-888,NCIH23,-5.0426523057
5-FU,ABT-888,NCIH460,-6.6119479166
5-FU,ABT-888,NCIH520,3.6988348484
5-FU,ABT-888,OV90,-10.0688476137
5-FU,ABT-888,OVCAR3,17.637032868
5-FU,ABT-888,RKO,-2.6775877856
5-FU,ABT-888,RPMI7951,-2.1732219296
5-FU,ABT-888,SKMEL30,-36.4592295758
5-FU,ABT-888,SKMES1,-0.0864245794
5-FU,ABT-888,SKOV3,5.0771773842
5-FU,ABT-888,SW620,0.1081077187
5-FU,ABT-888,SW837,-14.5231086273
5-FU,ABT-888,T47D,17.4857954498
5-FU,ABT-888,UACC62,-1.5839637825
5-FU,ABT-888,VCAP,1.0961027615
5-FU,ABT-888,ZR751,-8.6753170435
5-FU,AZD1775,A2058,13.0526874408
5-FU,AZD1775,A2780,11.2772729471
5-FU,AZD1775,A375,2.7051275464
5-FU,AZD1775,CAOV3,23.9861795387
5-FU,AZD1775,ES2,10.0575260869
5-FU,AZD1775,HCT116,13.9612713843
5-FU,AZD1775,HT144,6.0653890015
5-FU,AZD1775,HT29,-2.712205241
5-FU,AZD1775,KPL1,-2.0611613488
5-FU,AZD1775,LNCAP,9.9703894066
5-FU,AZD1775,LOVO,-4.0015073281
5-FU,AZD1775,MDAMB436,23.3811341972
5-FU,AZD1775,NCIH1650,10.773397668
5-FU,AZD1775,NCIH2122,4.3178885654
5-FU,AZD1775,NCIH23,-7.1158991851
5-FU,AZD1775,NCIH460,13.5826976918
5-FU,AZD1775,NCIH520,2.5787085802
5-FU,AZD1775,OV90,-3.1936519467
5-FU,AZD1775,OVCAR3,12.2336919622
5-FU,AZD1775,RKO,19.3332015124
5-FU,AZD1775,RPMI7951,16.722015116
5-FU,AZD1775,SKMEL30,2.2887188875
5-FU,AZD1775,SKMES1,33.3532583969
5-FU,AZD1775,SKOV3,18.7449639444
5-FU,AZD1775,SW620,8.0516725326
5-FU,AZD1775,SW837,2.5778554159
5-FU,AZD1775,T47D,10.0383629005
5-FU,AZD1775,UACC62,11.4593505287
5-FU,AZD1775,VCAP,-0.9983275325
5-FU,AZD1775,ZR751,0.423932097
5-FU,BEZ-235,A2058,13.6791116022
5-FU,BEZ-235,A2780,3.9332239081
5-FU,BEZ-235,A375,3.2905479611
5-FU,BEZ-235,CAOV3,4.4325063513
5-FU,BEZ-235,ES2,2.4774290291
5-FU,BEZ-235,HCT116,2.7457843603
5-FU,BEZ-235,HT144,2.3230897887
